## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429118-chr16.sorted.mdup.gc_bias_metrics.pdf SUMMARY_OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429118-chr16.sorted.mdup.summary_metrics.txt INPUT=./testdata/out/mdup/ERR1429118-chr16.sorted.mdup.bam OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429118-chr16.sorted.mdup.gc_bias_metrics.txt REFERENCE_SEQUENCE=./testdata/chr16-ref/GRCh38-chr16.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 03 17:37:47 PST 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	31	1578590	106	21	0.16461	0.015988			
All Reads	ALL	32	1760022	221	19	0.307817	0.020706			
All Reads	ALL	33	1946889	397	18	0.499883	0.025088			
All Reads	ALL	34	2132499	620	18	0.712725	0.028624			
All Reads	ALL	35	2327189	915	18	0.963848	0.031864			
All Reads	ALL	36	2513844	1025	18	0.99955	0.031221			
All Reads	ALL	37	2674266	1052	18	0.96434	0.029732			
All Reads	ALL	38	2781922	1281	18	1.128816	0.031539			
All Reads	ALL	39	2855132	1197	18	1.027749	0.029706			
All Reads	ALL	40	2894396	1186	19	1.00449	0.029168			
All Reads	ALL	41	2858258	1128	21	0.967446	0.028805			
All Reads	ALL	42	2753475	1054	21	0.938379	0.028904			
All Reads	ALL	43	2686443	1064	21	0.970919	0.029765			
All Reads	ALL	44	2654788	1167	22	1.077606	0.031545			
All Reads	ALL	45	2653518	1019	22	0.941393	0.029491			
All Reads	ALL	46	2666249	1189	21	1.093201	0.031704			
All Reads	ALL	47	2682427	1180	22	1.078383	0.031393			
All Reads	ALL	48	2686869	1206	22	1.100322	0.031684			
All Reads	ALL	49	2639460	1213	22	1.126587	0.032347			
All Reads	ALL	50	2542701	1274	22	1.228268	0.034412			
All Reads	ALL	51	2408118	1336	22	1.360027	0.037209			
All Reads	ALL	52	2256189	1110	21	1.206053	0.0362			
All Reads	ALL	53	2111106	1228	22	1.42596	0.040692			
All Reads	ALL	54	1981191	1167	21	1.443988	0.04227			
All Reads	ALL	55	1860194	1094	22	1.441711	0.043588			
All Reads	ALL	56	1751034	1036	22	1.450388	0.045061			
All Reads	ALL	57	1621625	981	21	1.482988	0.047348			
All Reads	ALL	58	1467412	919	22	1.535262	0.050644			
All Reads	ALL	59	1300370	767	22	1.44593	0.05221			
All Reads	ALL	60	1122340	733	22	1.601027	0.059135			
All Reads	ALL	61	960627	547	21	1.395891	0.059684			
All Reads	ALL	62	820304	517	22	1.545022	0.06795			
All Reads	ALL	63	700068	398	22	1.393676	0.069859			
All Reads	ALL	64	607674	316	20	1.274781	0.071712			
All Reads	ALL	65	526253	312	22	1.453379	0.082281			
All Reads	ALL	66	457273	257	20	1.377769	0.085943			
All Reads	ALL	67	394717	236	20	1.4657	0.095409			
All Reads	ALL	68	328055	187	22	1.397378	0.102186			
All Reads	ALL	69	267332	130	18	1.192096	0.104554			
All Reads	ALL	70	217152	135	19	1.524014	0.131166			
All Reads	ALL	71	170166	71	20	1.022833	0.121388			
All Reads	ALL	72	134009	71	18	1.298803	0.15414			
All Reads	ALL	73	105544	55	22	1.277462	0.172253			
All Reads	ALL	74	81902	44	22	1.316974	0.198541			
All Reads	ALL	75	65769	29	20	1.080925	0.200723			
All Reads	ALL	76	52866	15	17	0.695559	0.179592			
All Reads	ALL	77	43453	8	18	0.451325	0.159567			
All Reads	ALL	78	37037	9	25	0.595697	0.198566			
All Reads	ALL	79	32590	10	0	0.752202	0.237867			
All Reads	ALL	80	27288	6	22	0.539012	0.220051			
All Reads	ALL	81	23107	4	16	0.424361	0.21218			
All Reads	ALL	82	19256	4	21	0.509229	0.254614			
All Reads	ALL	83	16631	6	17	0.884406	0.361057			
All Reads	ALL	84	13313	0	0	0	0			
All Reads	ALL	85	10103	2	0	0.485287	0.34315			
All Reads	ALL	86	7100	0	0	0	0			
All Reads	ALL	87	4757	0	0	0	0			
All Reads	ALL	88	3401	0	0	0	0			
All Reads	ALL	89	2146	0	0	0	0			
All Reads	ALL	90	1421	0	0	0	0			
All Reads	ALL	91	833	0	0	0	0			
All Reads	ALL	92	594	0	0	0	0			
All Reads	ALL	93	416	0	0	0	0			
All Reads	ALL	94	288	0	0	0	0			
All Reads	ALL	95	153	0	0	0	0			
All Reads	ALL	96	208	0	0	0	0			
All Reads	ALL	97	61	0	0	0	0			
All Reads	ALL	98	37	0	0	0	0			
All Reads	ALL	99	0	0	0	0	0			
All Reads	ALL	100	0	0	0	0	0			


