## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429122-chr16.sorted.mdup.gc_bias_metrics.pdf SUMMARY_OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429122-chr16.sorted.mdup.summary_metrics.txt INPUT=./testdata/out/mdup/ERR1429122-chr16.sorted.mdup.bam OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429122-chr16.sorted.mdup.gc_bias_metrics.txt REFERENCE_SEQUENCE=./testdata/chr16-ref/GRCh38-chr16.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 03 17:37:52 PST 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	30	1393900	116	24	0.163043	0.015138			
All Reads	ALL	31	1578590	229	19	0.284213	0.018781			
All Reads	ALL	32	1760022	331	19	0.368457	0.020252			
All Reads	ALL	33	1946889	621	18	0.624924	0.025077			
All Reads	ALL	34	2132499	984	18	0.904031	0.028819			
All Reads	ALL	35	2327189	1427	18	1.20135	0.031802			
All Reads	ALL	36	2513844	1560	18	1.215803	0.030782			
All Reads	ALL	37	2674266	1666	19	1.220527	0.029903			
All Reads	ALL	38	2781922	1921	18	1.352881	0.030867			
All Reads	ALL	39	2855132	1817	19	1.246826	0.02925			
All Reads	ALL	40	2894396	1637	19	1.108072	0.027387			
All Reads	ALL	41	2858258	1494	21	1.024062	0.026494			
All Reads	ALL	42	2753475	1244	21	0.885149	0.025096			
All Reads	ALL	43	2686443	1317	22	0.960473	0.026466			
All Reads	ALL	44	2654788	1304	22	0.962332	0.026649			
All Reads	ALL	45	2653518	1339	23	0.988634	0.027018			
All Reads	ALL	46	2666249	1406	22	1.033146	0.027553			
All Reads	ALL	47	2682427	1352	22	0.987475	0.026856			
All Reads	ALL	48	2686869	1437	22	1.047822	0.027641			
All Reads	ALL	49	2639460	1427	22	1.05922	0.02804			
All Reads	ALL	50	2542701	1439	22	1.108773	0.029229			
All Reads	ALL	51	2408118	1328	21	1.080432	0.029648			
All Reads	ALL	52	2256189	1373	22	1.192263	0.032176			
All Reads	ALL	53	2111106	1382	22	1.282552	0.0345			
All Reads	ALL	54	1981191	1312	22	1.297432	0.035819			
All Reads	ALL	55	1860194	1186	22	1.249118	0.036271			
All Reads	ALL	56	1751034	1208	22	1.351604	0.038888			
All Reads	ALL	57	1621625	1071	22	1.293946	0.039539			
All Reads	ALL	58	1467412	994	22	1.327124	0.042094			
All Reads	ALL	59	1300370	899	22	1.354471	0.045174			
All Reads	ALL	60	1122340	773	22	1.349373	0.048534			
All Reads	ALL	61	960627	706	21	1.439882	0.054191			
All Reads	ALL	62	820304	586	23	1.399587	0.057816			
All Reads	ALL	63	700068	502	22	1.404884	0.062703			
All Reads	ALL	64	607674	438	22	1.412149	0.067475			
All Reads	ALL	65	526253	374	21	1.392368	0.071998			
All Reads	ALL	66	457273	287	22	1.229655	0.072584			
All Reads	ALL	67	394717	247	20	1.225994	0.078008			
All Reads	ALL	68	328055	204	20	1.218318	0.085299			
All Reads	ALL	69	267332	165	19	1.209233	0.094139			
All Reads	ALL	70	217152	130	19	1.172888	0.102869			
All Reads	ALL	71	170166	92	23	1.059235	0.110433			
All Reads	ALL	72	134009	80	23	1.169589	0.130764			
All Reads	ALL	73	105544	43	19	0.798201	0.121724			
All Reads	ALL	74	81902	31	25	0.741557	0.133187			
All Reads	ALL	75	65769	23	20	0.685147	0.142863			
All Reads	ALL	76	52866	17	25	0.630013	0.152801			
All Reads	ALL	77	43453	14	16	0.631227	0.168702			
All Reads	ALL	78	37037	5	27	0.264491	0.118284			
All Reads	ALL	79	32590	11	16	0.66128	0.199383			
All Reads	ALL	80	27288	11	24	0.789765	0.238123			
All Reads	ALL	81	23107	4	23	0.339151	0.169576			
All Reads	ALL	82	19256	2	0	0.203489	0.143888			
All Reads	ALL	83	16631	3	25	0.353411	0.204042			
All Reads	ALL	84	13313	3	25	0.441492	0.254895			
All Reads	ALL	85	10103	1	20	0.193922	0.193922			
All Reads	ALL	86	7100	0	0	0	0			
All Reads	ALL	87	4757	0	0	0	0			
All Reads	ALL	88	3401	0	0	0	0			
All Reads	ALL	89	2146	0	0	0	0			
All Reads	ALL	90	1421	0	0	0	0			
All Reads	ALL	91	833	0	0	0	0			
All Reads	ALL	92	594	0	0	0	0			
All Reads	ALL	93	416	0	0	0	0			
All Reads	ALL	94	288	0	0	0	0			
All Reads	ALL	95	153	0	0	0	0			
All Reads	ALL	96	208	0	0	0	0			
All Reads	ALL	97	61	0	0	0	0			
All Reads	ALL	98	37	0	0	0	0			
All Reads	ALL	99	0	0	0	0	0			
All Reads	ALL	100	0	0	0	0	0			


