## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429134-chr16.sorted.mdup.gc_bias_metrics.pdf SUMMARY_OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429134-chr16.sorted.mdup.summary_metrics.txt INPUT=./testdata/out/mdup/ERR1429134-chr16.sorted.mdup.bam OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429134-chr16.sorted.mdup.gc_bias_metrics.txt REFERENCE_SEQUENCE=./testdata/chr16-ref/GRCh38-chr16.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 03 17:37:57 PST 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	30	1393900	133	21	0.102589	0.008896			
All Reads	ALL	31	1578590	336	19	0.22885	0.012485			
All Reads	ALL	32	1760022	595	20	0.36348	0.014901			
All Reads	ALL	33	1946889	1625	18	0.897416	0.022262			
All Reads	ALL	34	2132499	2071	18	1.044175	0.022945			
All Reads	ALL	35	2327189	2840	18	1.312105	0.024621			
All Reads	ALL	36	2513844	3220	18	1.377208	0.02427			
All Reads	ALL	37	2674266	3418	19	1.374198	0.023505			
All Reads	ALL	38	2781922	3799	19	1.468271	0.023822			
All Reads	ALL	39	2855132	3483	19	1.311623	0.022225			
All Reads	ALL	40	2894396	3289	19	1.221765	0.021304			
All Reads	ALL	41	2858258	2619	21	0.985181	0.019251			
All Reads	ALL	42	2753475	2325	24	0.90787	0.018828			
All Reads	ALL	43	2686443	2598	25	1.039785	0.0204			
All Reads	ALL	44	2654788	2447	26	0.991028	0.020034			
All Reads	ALL	45	2653518	2313	25	0.937207	0.019487			
All Reads	ALL	46	2666249	2478	26	0.999269	0.020074			
All Reads	ALL	47	2682427	2448	26	0.981218	0.019832			
All Reads	ALL	48	2686869	2493	25	0.997603	0.01998			
All Reads	ALL	49	2639460	2536	25	1.033037	0.020514			
All Reads	ALL	50	2542701	2309	24	0.976361	0.020319			
All Reads	ALL	51	2408118	2431	25	1.085398	0.022014			
All Reads	ALL	52	2256189	2232	25	1.063654	0.022514			
All Reads	ALL	53	2111106	2519	24	1.282921	0.025561			
All Reads	ALL	54	1981191	1992	23	1.081048	0.024221			
All Reads	ALL	55	1860194	1980	24	1.144429	0.025719			
All Reads	ALL	56	1751034	1948	25	1.196124	0.027101			
All Reads	ALL	57	1621625	1900	23	1.259752	0.028901			
All Reads	ALL	58	1467412	1526	22	1.118109	0.028622			
All Reads	ALL	59	1300370	1390	23	1.14929	0.030826			
All Reads	ALL	60	1122340	1112	24	1.065276	0.031946			
All Reads	ALL	61	960627	1182	24	1.322953	0.03848			
All Reads	ALL	62	820304	878	25	1.150804	0.038838			
All Reads	ALL	63	700068	955	22	1.466713	0.047462			
All Reads	ALL	64	607674	783	23	1.385393	0.04951			
All Reads	ALL	65	526253	711	23	1.452636	0.054478			
All Reads	ALL	66	457273	624	21	1.467205	0.058735			
All Reads	ALL	67	394717	574	22	1.563536	0.065261			
All Reads	ALL	68	328055	440	22	1.442075	0.068748			
All Reads	ALL	69	267332	280	21	1.126131	0.067299			
All Reads	ALL	70	217152	276	22	1.366555	0.082257			
All Reads	ALL	71	170166	176	22	1.112043	0.083823			
All Reads	ALL	72	134009	133	26	1.067086	0.092528			
All Reads	ALL	73	105544	72	18	0.733467	0.08644			
All Reads	ALL	74	81902	76	24	0.997702	0.114444			
All Reads	ALL	75	65769	53	28	0.866436	0.119014			
All Reads	ALL	76	52866	72	21	1.464326	0.172573			
All Reads	ALL	77	43453	12	26	0.296923	0.085714			
All Reads	ALL	78	37037	17	17	0.493509	0.119693			
All Reads	ALL	79	32590	21	26	0.692814	0.151184			
All Reads	ALL	80	27288	3	0	0.118204	0.068245			
All Reads	ALL	81	23107	13	23	0.604897	0.167768			
All Reads	ALL	82	19256	18	21	1.005051	0.236893			
All Reads	ALL	83	16631	10	17	0.646493	0.204439			
All Reads	ALL	84	13313	1	0	0.080762	0.080762			
All Reads	ALL	85	10103	0	0	0	0			
All Reads	ALL	86	7100	0	0	0	0			
All Reads	ALL	87	4757	0	0	0	0			
All Reads	ALL	88	3401	0	0	0	0			
All Reads	ALL	89	2146	0	0	0	0			
All Reads	ALL	90	1421	0	0	0	0			
All Reads	ALL	91	833	0	0	0	0			
All Reads	ALL	92	594	0	0	0	0			
All Reads	ALL	93	416	0	0	0	0			
All Reads	ALL	94	288	0	0	0	0			
All Reads	ALL	95	153	0	0	0	0			
All Reads	ALL	96	208	0	0	0	0			
All Reads	ALL	97	61	0	0	0	0			
All Reads	ALL	98	37	0	0	0	0			
All Reads	ALL	99	0	0	0	0	0			
All Reads	ALL	100	0	0	0	0	0			


