## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429171-chr16.sorted.mdup.gc_bias_metrics.pdf SUMMARY_OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429171-chr16.sorted.mdup.summary_metrics.txt INPUT=./testdata/out/mdup/ERR1429171-chr16.sorted.mdup.bam OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429171-chr16.sorted.mdup.gc_bias_metrics.txt REFERENCE_SEQUENCE=./testdata/chr16-ref/GRCh38-chr16.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 03 17:38:09 PST 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	29	1212810	191	23	0.080586	0.005831			
All Reads	ALL	30	1393900	349	22	0.128118	0.006858			
All Reads	ALL	31	1578590	661	20	0.214264	0.008334			
All Reads	ALL	32	1760022	1183	19	0.34394	0.01			
All Reads	ALL	33	1946889	2428	19	0.638152	0.012951			
All Reads	ALL	34	2132499	3597	19	0.863114	0.014391			
All Reads	ALL	35	2327189	4989	19	1.096979	0.015531			
All Reads	ALL	36	2513844	5641	19	1.148244	0.015288			
All Reads	ALL	37	2674266	5904	19	1.129687	0.014702			
All Reads	ALL	38	2781922	6802	19	1.251146	0.01517			
All Reads	ALL	39	2855132	6509	19	1.166553	0.014459			
All Reads	ALL	40	2894396	6145	20	1.086376	0.013859			
All Reads	ALL	41	2858258	5209	23	0.932544	0.012921			
All Reads	ALL	42	2753475	5088	24	0.945545	0.013256			
All Reads	ALL	43	2686443	4860	25	0.92571	0.013279			
All Reads	ALL	44	2654788	4884	25	0.941374	0.01347			
All Reads	ALL	45	2653518	5195	25	1.001797	0.013899			
All Reads	ALL	46	2666249	5009	25	0.961317	0.013583			
All Reads	ALL	47	2682427	5135	25	0.979555	0.01367			
All Reads	ALL	48	2686869	5028	25	0.957558	0.013504			
All Reads	ALL	49	2639460	5259	25	1.01954	0.014059			
All Reads	ALL	50	2542701	5320	25	1.070613	0.014678			
All Reads	ALL	51	2408118	5529	25	1.174858	0.0158			
All Reads	ALL	52	2256189	5358	24	1.215188	0.016601			
All Reads	ALL	53	2111106	4975	25	1.205867	0.017096			
All Reads	ALL	54	1981191	4742	24	1.224762	0.017786			
All Reads	ALL	55	1860194	4591	25	1.26289	0.018639			
All Reads	ALL	56	1751034	4369	25	1.276744	0.019316			
All Reads	ALL	57	1621625	4069	24	1.283966	0.020128			
All Reads	ALL	58	1467412	3882	24	1.353692	0.021727			
All Reads	ALL	59	1300370	3652	24	1.437078	0.02378			
All Reads	ALL	60	1122340	3316	25	1.511842	0.026254			
All Reads	ALL	61	960627	3033	23	1.615601	0.029336			
All Reads	ALL	62	820304	2432	25	1.517068	0.030763			
All Reads	ALL	63	700068	2084	23	1.523259	0.033368			
All Reads	ALL	64	607674	2101	23	1.769179	0.038597			
All Reads	ALL	65	526253	1930	23	1.876632	0.042717			
All Reads	ALL	66	457273	1646	21	1.841919	0.0454			
All Reads	ALL	67	394717	1274	21	1.651581	0.046272			
All Reads	ALL	68	328055	1344	21	2.096375	0.057183			
All Reads	ALL	69	267332	918	22	1.757147	0.057994			
All Reads	ALL	70	217152	784	20	1.847433	0.06598			
All Reads	ALL	71	170166	606	21	1.822285	0.074025			
All Reads	ALL	72	134009	470	22	1.794652	0.082781			
All Reads	ALL	73	105544	198	24	0.959949	0.068221			
All Reads	ALL	74	81902	199	21	1.243297	0.088135			
All Reads	ALL	75	65769	155	20	1.205943	0.096864			
All Reads	ALL	76	52866	130	16	1.258297	0.11036			
All Reads	ALL	77	43453	83	22	0.977405	0.107284			
All Reads	ALL	78	37037	79	24	1.09146	0.122799			
All Reads	ALL	79	32590	27	19	0.423932	0.081586			
All Reads	ALL	80	27288	51	22	0.956346	0.133915			
All Reads	ALL	81	23107	32	20	0.708635	0.12527			
All Reads	ALL	82	19256	39	17	1.03637	0.165952			
All Reads	ALL	83	16631	15	19	0.461519	0.119164			
All Reads	ALL	84	13313	26	23	0.999341	0.195987			
All Reads	ALL	85	10103	11	15	0.557133	0.167982			
All Reads	ALL	86	7100	5	17	0.360353	0.161155			
All Reads	ALL	87	4757	0	0	0	0			
All Reads	ALL	88	3401	0	0	0	0			
All Reads	ALL	89	2146	0	0	0	0			
All Reads	ALL	90	1421	0	0	0	0			
All Reads	ALL	91	833	0	0	0	0			
All Reads	ALL	92	594	0	0	0	0			
All Reads	ALL	93	416	0	0	0	0			
All Reads	ALL	94	288	0	0	0	0			
All Reads	ALL	95	153	0	0	0	0			
All Reads	ALL	96	208	0	0	0	0			
All Reads	ALL	97	61	0	0	0	0			
All Reads	ALL	98	37	0	0	0	0			
All Reads	ALL	99	0	0	0	0	0			
All Reads	ALL	100	0	0	0	0	0			


