## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429150-chr16.sorted.mdup.gc_bias_metrics.pdf SUMMARY_OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429150-chr16.sorted.mdup.summary_metrics.txt INPUT=./testdata/out/mdup/ERR1429150-chr16.sorted.mdup.bam OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429150-chr16.sorted.mdup.gc_bias_metrics.txt REFERENCE_SEQUENCE=./testdata/chr16-ref/GRCh38-chr16.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 03 17:38:03 PST 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	29	1212810	141	24	0.094202	0.007933			
All Reads	ALL	30	1393900	249	24	0.144745	0.009173			
All Reads	ALL	31	1578590	451	21	0.231495	0.010901			
All Reads	ALL	32	1760022	664	21	0.305692	0.011863			
All Reads	ALL	33	1946889	1179	20	0.49069	0.014291			
All Reads	ALL	34	2132499	1865	19	0.708638	0.016409			
All Reads	ALL	35	2327189	2344	20	0.816132	0.016857			
All Reads	ALL	36	2513844	2810	19	0.905738	0.017086			
All Reads	ALL	37	2674266	3133	20	0.949271	0.016959			
All Reads	ALL	38	2781922	3423	21	0.997003	0.017041			
All Reads	ALL	39	2855132	3575	20	1.014575	0.016969			
All Reads	ALL	40	2894396	3314	22	0.927746	0.016116			
All Reads	ALL	41	2858258	3243	23	0.919348	0.016144			
All Reads	ALL	42	2753475	3267	25	0.961396	0.01682			
All Reads	ALL	43	2686443	3343	25	1.008308	0.017439			
All Reads	ALL	44	2654788	3108	26	0.948605	0.017016			
All Reads	ALL	45	2653518	3424	25	1.045553	0.017868			
All Reads	ALL	46	2666249	3528	26	1.072167	0.018051			
All Reads	ALL	47	2682427	3228	25	0.97508	0.017162			
All Reads	ALL	48	2686869	3665	25	1.105254	0.018257			
All Reads	ALL	49	2639460	3705	25	1.137385	0.018686			
All Reads	ALL	50	2542701	3536	25	1.126812	0.018949			
All Reads	ALL	51	2408118	3478	25	1.170271	0.019844			
All Reads	ALL	52	2256189	3459	25	1.242252	0.021122			
All Reads	ALL	53	2111106	3607	24	1.384429	0.023051			
All Reads	ALL	54	1981191	3209	25	1.312435	0.023168			
All Reads	ALL	55	1860194	3256	25	1.418276	0.024855			
All Reads	ALL	56	1751034	3084	24	1.427099	0.025698			
All Reads	ALL	57	1621625	2996	24	1.497014	0.02735			
All Reads	ALL	58	1467412	2709	23	1.495862	0.02874			
All Reads	ALL	59	1300370	2277	25	1.418831	0.029734			
All Reads	ALL	60	1122340	2163	24	1.561588	0.033577			
All Reads	ALL	61	960627	1934	22	1.631309	0.037094			
All Reads	ALL	62	820304	1818	24	1.795782	0.042117			
All Reads	ALL	63	700068	1456	21	1.685216	0.044165			
All Reads	ALL	64	607674	1344	23	1.792103	0.048884			
All Reads	ALL	65	526253	1232	20	1.896927	0.054044			
All Reads	ALL	66	457273	1160	21	2.055497	0.060351			
All Reads	ALL	67	394717	1097	22	2.251932	0.067991			
All Reads	ALL	68	328055	775	21	1.91421	0.06876			
All Reads	ALL	69	267332	665	21	2.015604	0.078162			
All Reads	ALL	70	217152	434	22	1.619423	0.077735			
All Reads	ALL	71	170166	361	25	1.718972	0.090472			
All Reads	ALL	72	134009	205	19	1.239522	0.086572			
All Reads	ALL	73	105544	197	21	1.512402	0.107754			
All Reads	ALL	74	81902	134	22	1.325698	0.114523			
All Reads	ALL	75	65769	110	21	1.355208	0.129214			
All Reads	ALL	76	52866	79	18	1.210835	0.13623			
All Reads	ALL	77	43453	67	21	1.249365	0.152634			
All Reads	ALL	78	37037	27	24	0.590694	0.113679			
All Reads	ALL	79	32590	69	14	1.715533	0.206526			
All Reads	ALL	80	27288	32	17	0.950195	0.167972			
All Reads	ALL	81	23107	19	19	0.666261	0.152851			
All Reads	ALL	82	19256	22	22	0.925744	0.197369			
All Reads	ALL	83	16631	16	11	0.779536	0.194884			
All Reads	ALL	84	13313	26	23	1.582457	0.310345			
All Reads	ALL	85	10103	11	0	0.88222	0.265999			
All Reads	ALL	86	7100	0	0	0	0			
All Reads	ALL	87	4757	1	13	0.170334	0.170334			
All Reads	ALL	88	3401	0	0	0	0			
All Reads	ALL	89	2146	0	0	0	0			
All Reads	ALL	90	1421	0	0	0	0			
All Reads	ALL	91	833	0	0	0	0			
All Reads	ALL	92	594	0	0	0	0			
All Reads	ALL	93	416	0	0	0	0			
All Reads	ALL	94	288	0	0	0	0			
All Reads	ALL	95	153	0	0	0	0			
All Reads	ALL	96	208	0	0	0	0			
All Reads	ALL	97	61	0	0	0	0			
All Reads	ALL	98	37	0	0	0	0			
All Reads	ALL	99	0	0	0	0	0			
All Reads	ALL	100	0	0	0	0	0			


